iter	MultiClass
0	2.466851847
1	2.386755494
2	2.321702191
3	2.26651904
4	2.218265822
5	2.175338228
6	2.136062213
7	2.102722937
8	2.073770165
9	2.048086483
10	2.024013795
11	1.998450281
12	1.978154503
13	1.95794584
14	1.93654635
15	1.916973551
16	1.900157994
17	1.884111826
18	1.868960904
19	1.852156182
20	1.843005939
21	1.829469831
22	1.816599036
23	1.804599916
24	1.792506041
25	1.783131766
26	1.771368105
27	1.762081639
28	1.750438268
29	1.74309086
30	1.732687983
31	1.725244844
32	1.716184538
33	1.710256831
34	1.702215929
35	1.695505589
36	1.689865568
37	1.681534892
38	1.67484922
39	1.667008334
40	1.659804992
41	1.651556112
42	1.646844063
43	1.638962727
44	1.6315484
45	1.627270568
46	1.620141775
47	1.613269722
48	1.605956323
49	1.598838269
50	1.594481204
51	1.588897052
52	1.583369414
53	1.578664938
54	1.575670992
55	1.572197834
56	1.56686934
57	1.562692985
58	1.558536925
59	1.552621371
60	1.549077503
61	1.5446187
62	1.539969226
63	1.534208597
64	1.529754751
65	1.525806342
66	1.522634991
67	1.517880327
68	1.515368948
69	1.512090854
70	1.507380703
71	1.502058768
72	1.496307867
73	1.491467395
74	1.487066847
75	1.483834331
76	1.480715372
77	1.474857829
78	1.470141336
79	1.465735662
80	1.461079235
81	1.45732677
82	1.454355724
83	1.450822474
84	1.445414951
85	1.441765718
86	1.439118441
87	1.435651677
88	1.430068099
89	1.426588742
90	1.423190995
91	1.420537093
92	1.416663758
93	1.413559155
94	1.406354359
95	1.402308886
96	1.397110632
97	1.392628381
98	1.388008882
99	1.383722891
100	1.380316111
101	1.377054319
102	1.373062512
103	1.369950792
104	1.367458471
105	1.362939505
106	1.357959962
107	1.356231691
108	1.351133714
109	1.348314908
110	1.343075017
111	1.338744459
112	1.336983422
113	1.332928719
114	1.330184929
115	1.325255006
116	1.318546484
117	1.315722164
118	1.309928074
119	1.304661591
120	1.301752804
121	1.296042538
122	1.292393242
123	1.28857588
124	1.285079488
125	1.282015643
126	1.279177989
127	1.277147565
128	1.274366902
129	1.268644577
130	1.266523127
131	1.263427673
132	1.260524599
133	1.254461508
134	1.252420058
135	1.249625959
136	1.245747991
137	1.24051147
138	1.237244697
139	1.234072012
140	1.232129881
141	1.226338423
142	1.221754032
143	1.216313926
144	1.212766219
145	1.207623448
146	1.204407603
147	1.203489786
148	1.20048907
149	1.197933102
150	1.195382336
151	1.192231623
152	1.190547628
153	1.185890626
154	1.183406682
155	1.180443995
156	1.17724834
157	1.173566682
158	1.172662252
159	1.170506625
160	1.168139339
161	1.164695868
162	1.163108984
163	1.159495782
164	1.1554649
165	1.151637675
166	1.149385252
167	1.149087002
168	1.147310492
169	1.145929445
170	1.141520515
171	1.138475504
172	1.134252452
173	1.131711053
174	1.128829492
175	1.125973105
176	1.12371263
177	1.120557096
178	1.118571247
179	1.116008315
180	1.111399439
181	1.107621268
182	1.103795029
183	1.09930966
184	1.096452853
185	1.093580757
186	1.090177738
187	1.086244584
188	1.084333595
189	1.081532503
190	1.080363824
191	1.078856845
192	1.075443347
193	1.070625594
194	1.067221362
195	1.063553125
196	1.06145272
197	1.059412683
198	1.05735114
199	1.056860325
200	1.053284437
201	1.050961254
202	1.048557511
203	1.04718283
204	1.04553986
205	1.043601186
206	1.042390073
207	1.041736031
208	1.039033581
209	1.038539269
210	1.036572963
