iter	Passed	Remaining
0	8978	8969501
1	17823	8894109
2	26700	8873540
3	36200	9013892
4	44421	8839933
5	45687	7568962
6	47183	6693317
7	48704	6039392
8	55796	6143813
9	64688	6404146
10	73459	6604673
11	83308	6859065
12	92929	7055511
13	102052	7187442
14	110881	7281191
15	121006	7441900
16	130083	7521892
17	140528	7666608
18	149870	7738026
19	158622	7772518
20	167277	7798297
21	176012	7824555
22	184756	7848127
23	193568	7871789
24	202572	7900317
25	211859	7936598
26	220873	7959639
27	229792	7977087
28	241095	8072528
29	253714	8203447
30	260271	8135593
31	261682	7915883
32	263122	7710300
33	264655	7519323
34	266082	7336262
35	268723	7195815
36	270203	7032587
37	271840	6881860
38	273502	6739373
39	275151	6603625
40	276785	6474072
41	278299	6347874
42	279777	6226682
43	281225	6110273
44	282660	5998677
45	284095	5891888
46	285512	5789223
47	286900	5690190
48	288310	5595582
49	289712	5504529
50	291106	5416864
51	292490	5332321
52	293841	5250333
53	295200	5171471
54	296552	5095309
55	297959	5022750
56	299333	4952128
57	300731	4884292
58	302133	4818765
59	303499	4754822
60	304878	4693134
61	306254	4633329
62	307645	4575610
63	309003	4519179
64	310365	4464484
65	311735	4411525
66	313116	4360267
67	314523	4310819
68	315924	4262687
69	317287	4215395
70	318639	4169245
71	320012	4124603
72	321388	4081193
73	322744	4038663
74	324084	3997036
75	325425	3956493
76	326799	3917351
77	328217	3879699
78	329600	3842552
79	330964	3806094
80	332326	3770465
81	333713	3735966
82	335123	3702506
83	336507	3669537
84	337926	3637675
85	339297	3606020
86	340668	3575062
87	342012	3544496
88	343358	3514604
89	344822	3486542
90	346180	3458001
91	347519	3429866
92	348869	3402411
93	350224	3375565
94	351579	3349256
95	352830	3322488
96	354051	3295963
97	355330	3270488
98	356662	3245992
99	357950	3221550
100	359394	3198969
101	361067	3178813
102	362386	3155925
103	363894	3135095
104	365159	3112547
105	366463	3090735
106	367680	3068589
107	368979	3047497
108	370550	3028996
109	372011	3009914
110	373560	2991846
111	374968	2972961
112	376273	2953579
113	377520	2934065
114	378771	2914894
115	380008	2895924
116	381279	2877516
117	382564	2859506
118	383799	2841407
119	385145	2824398
120	386408	2807050
121	387631	2789678
122	388962	2773334
123	390162	2756310
124	391527	2740689
125	393091	2726680
126	394608	2712545
127	396013	2697845
128	397415	2683326
129	398769	2668690
130	400154	2654457
131	401557	2640546
132	403001	2627082
133	404470	2613967
134	405820	2600257
135	407176	2586769
136	408528	2573428
137	409881	2560275
138	411250	2547386
139	412648	2534843
140	414056	2522514
141	415435	2510163
142	416876	2498342
143	418284	2486467
144	419661	2474553
145	421021	2462685
146	422387	2450997
147	423777	2439584
148	425254	2428805
149	426683	2417875
150	428070	2406835
151	429456	2395913
152	430818	2384986
153	432162	2374085
154	433498	2363265
155	434869	2352757
156	436264	2342488
157	437641	2332242
158	439018	2322102
159	440384	2312020
160	441749	2302037
161	443113	2292154
162	444486	2282425
163	445865	2272826
164	447240	2263309
165	448661	2254120
166	450076	2244993
167	451464	2235825
168	452826	2226622
169	454186	2217499
170	455555	2208510
171	456991	2199936
172	458447	2191538
173	459825	2182850
174	461209	2174275
175	462629	2165948
176	463997	2157455
177	465364	2149041
178	466714	2140629
179	468084	2132383
180	469456	2124224
181	470814	2116078
182	472183	2108056
183	473582	2100235
184	474956	2092374
185	476319	2084537
186	477654	2076646
187	478980	2068789
188	480353	2061199
189	481700	2053564
190	483032	2045933
191	484364	2038368
192	485695	2030859
193	487011	2023358
194	488338	2015961
195	489708	2008803
196	491023	2001481
197	492377	1994375
198	493805	1987629
199	495204	1980819
200	496582	1973975
201	497969	1967224
202	499256	1960136
203	500472	1952824
204	501665	1945484
205	502845	1938151
206	504109	1931201
207	505288	1923983
208	506471	1916838
209	507674	1909822
210	508853	1902775
